// 出現時間、出現座標(x,y）、速度（vx,vy） HP 防御力　弾発射間隔　弾体ぷ　弾速度

// 1部隊

100,100,0,0,8,20,5,30,1,10
100,900,0,0,8,20,5,30,1,10
100,800,0,0,8,20,5,30,1,10
100,300,0,0,8,20,5,30,1,10
100,100,0,0,8,20,5,30,1,10
110,500,0,0,8,20,5,30,1,10
110,600,0,0,8,20,5,30,1,10
120,700,0,0,8,20,5,30,1,10
// 2
120,880,0,0,10,20,5,30,1,10
130,880,0,0,10,20,5,30,1,10
140,880,0,0,10,20,5,30,1,10
150,580,0,0,8,20,5,30,1,10
155,580,0,0,8,20,5,30,1,10
160,280,0,0,8,20,5,30,1,10
160,880,0,0,8,20,5,30,1,10
// 3
250,300,0,4,8,20,5,30,1,8
255,300,0,4,8,20,5,20,1,10
260,300,0,4,8,20,5,30,1,8
265,300,0,4,8,20,5,20,1,10
270,300,0,4,8,20,5,20,1,10
275,300,0,4,8,20,5,20,1,10
// 4
300,680,0,-4,8,20,5,30,1,8
305,680,0,-4,8,20,5,20,1,10
310,680,0,-4,8,20,5,30,1,8
315,680,0,-4,8,20,5,20,1,10
// 5

400,200,0,0,8,20,5,30,1,10
405,150,0,0,8,20,5,20,1,15
410,200,0,0,8,20,5,10,1,8
415,150,0,0,8,20,5,20,1,15
400,780,0,0,8,20,5,10,1,8
405,780,0,0,8,20,5,20,1,10
410,780,0,0,8,20,5,30,1,15
415,780,0,0,8,20,5,20,1,10
420,780,0,0,8,20,5,20,1,10
425,780,0,0,8,20,5,20,1,10
430,780,0,0,8,20,5,20,1,10
435,780,0,0,8,20,5,20,1,10
470,280,0,0,8,20,5,20,1,10
475,280,0,0,8,20,5,20,1,10
// 6
500,200,0,4,8,20,5,30,1,10
505,200,0,4,8,20,5,20,1,15
510,200,0,4,8,20,5,10,1,8
515,200,0,4,8,20,5,20,1,15
500,80,0,-4,8,20,5,10,1,8
505,480,0,-4,8,20,5,20,1,10
510,480,0,-4,8,20,5,30,1,15
515,480,0,-4,8,20,5,20,1,10
// 7
600,0,0,4,8,20,5,30,1,10
605,480,0,-4,8,20,5,20,1,15
610,0,0,4,8,20,5,10,1,8
615,550,0,-4,8,20,5,20,1,15
620,550,0,4,8,20,5,10,1,8
625,550,0,-4,8,20,5,20,1,10
630,0,0,4,8,20,5,30,1,15
635,550,0,-4,8,20,5,20,1,10
// 8
700,0,0,4,8,20,5,30,1,10
705,480,0,-4,8,20,5,20,1,15
710,100,0,0,8,20,5,10,1,8
715,780,0,0,8,20,5,20,1,15
720,0,0,4,8,20,5,10,1,8
725,780,0,-4,8,20,5,20,1,10
730,100,0,0,8,20,5,30,1,15
735,780,0,0,8,20,5,20,1,10
// 9
800,100,0,0,8,20,5,30,1,10
805,100,0,0,8,20,5,20,1,15
810,100,0,0,8,20,5,10,1,8
815,100,0,0,8,20,5,20,1,15
800,680,640,0,-8,20,5,10,1,8
805,780,640,0,-8,20,5,20,1,10
810,680,640,0,-8,20,5,30,1,15
815,780,640,0,-8,20,5,20,1,10
820,780,640,0,-8,20,5,20,1,10
*
900,340,0,0,0,600,7,3,2,12
